Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Nikola Vučević","BOS",,"23.55","4700",5,1.2,"","PHI","14",13,114,215.5,20,10.92,2.41,6.01,0.46,"0.48","0.83","9.21","4.48","","44.4","55.6"
"Carter Bryant","SA",,"9.73","3500",2.8,0.9,"","POR","13",11.5,116,221,11,4.31,0.68,2.55,0.28,"0.33","0.41","3.82","1.57","","50.0","50.0"
"Stephon Castle","SA",,"40.96","7200",5.7,1.2,"","POR","13",11.5,116,221,33,18.93,8.66,6.04,1.2,"0.33","4.76","13.78","6.41","","42.9","50.0"
"Jerami Grant","POR",,"22.61","5000",4.5,1,30.91,"SA","12",11.5,105,221,23,14.76,1.74,2.83,0.61,"0.51","3.57","10.37","4.63",23.92,"50.0","60.0"
"Matisse Thybulle","POR",,"9.41","3600",2.6,0.9,6.62,"SA","12",11.5,105,221,10,3.76,0.59,1.29,0.87,"0.4","0.4","2.98","1.27",8.07,"33.3","66.7"
"Paolo Banchero","ORL",,"45.75","8500",5.4,1.2,33.18,"DET","12","",0,0,37,24.45,5.91,9.14,0.89,"0.57","6.84","17.66","8.15",15.73,"44.4","50.0"
"Jalen Green","PHO",,"40.4","7300",5.5,1.2,34.98,"OKC","11","",0,0,35,25.72,3.9,5.11,1.31,"0.48","2.82","22.57","9.82",32.08,"43.5","47.8"
"Julian Champagnie","SA",,"22.73","4100",5.5,0.9,"","POR","11",11.5,116,221,26,10.94,1.49,5.64,0.78,"0.48","1.35","8.34","3.62","","50.0","62.5"
"Harrison Barnes","SA",,"13.23","3700",3.6,0.7,"","POR","11",11.5,116,221,18,7.43,1.4,2.07,0.52,"0.11","1.01","5.51","2.54","","50.0","50.0"
"Alex Caruso","OKC",,"15.31","3800",4,0.9,"","PHO","10","",0,0,17,6.14,1.93,2.77,0.98,"0.29","0.74","5.26","2.24","","40.0","60.0"
"Jalen Williams","OKC",,"39.97","7000",5.7,1.2,"","PHO","10","",0,0,33,20.59,6.62,5.56,1.28,"0.33","3.95","16.31","7.9","","50.0","50.0"
"Deni Avdija","POR",,"51.39","9800",5.2,1.4,36.37,"SA","9",11.5,105,221,37,28.18,8.05,7.94,1,"0.7","8.69","18.64","8.67",44.62,"47.4","52.6"
"Jalen Duren","DET",,"45.2","7800",5.8,1.4,"","ORL","9","",0,0,32,23.25,2.4,12.45,0.89,"0.91","5.27","13.75","8.99","","64.3","64.3"
"Scoot Henderson","POR",,"23.62","4100",5.8,1,21.84,"SA","9",11.5,105,221,23,13.62,3.56,2.59,0.91,"0.31","2.69","10.88","4.56",24.83,"45.5","45.5"
"Grayson Allen","PHO",,"21.95","5200",4.2,1,0,"OKC","9","",0,0,21,12.67,2.84,2.35,0.92,"0.2","2.22","10.05","4.04",0,"40.0","50.0"
"Devin Booker","PHO",,"48.68","8800",5.5,1.2,24.63,"OKC","9","",0,0,39,30.85,7.22,4.82,1.1,"0.31","8.59","22.54","10.08",17.76,"43.5","47.8"
"Isaiah Stewart","DET",,"19.38","4000",4.8,1,"","ORL","9","",0,0,19,8.65,0.99,4.29,0.35,"1.35","1.49","5.97","3.29","","50.0","66.7"
